sentence,voice_phishing
전혀 모르시는 분지요 어 일단은 지금 이 김영민이라는 사람이 대전 유성구 쪽에서 함께 부동산이라고 그 공인중개사 사무소로 운영했던 사람이에요 그런데 이번에 그 불법 도박사이트 운영 혐의로 저희가 김현민이나 사람을 권고를했는데 저희가 지금 이 김현미를 그 광고하는 현장에서 그 대략의 신용카드들과 대포 통장들은 없다면서 혹시 명의로 지금 국민은행과 농협은행 그리고 지금 새마을금고 통장들이 발견되서 일단은 저희가 좀 확인차 연락드렸어요 어 혹시 실례지만 계산을 통장을 백을 하셔서 타인에게 혹시 양도하신 적 있어요 법 도박사이트 통장 혐의로 지금 저희가 기념일이라는 사람을 권고를했는데 어 저희가 지급이 김현미는 그 권고안에 현장에서 대량은 신용카드들과 대포 통장 들어왔다면서 그중에 지금,True
여기로 지금 궁금해냄과 농협은행 그리고 지금 새마을 금고 통장들이 발견되서 일단은 저희가 확인차 좀 연락 드렸어요 혹시 실례지만 저는 통장을 개설 하면서 혹시 타인에게 양도하신 적 있으세요 어 본인께서는 지금 통장에 대해서는 지금 전혀 모르고 계셨고요 어 일단 저희가 오늘 지금 어떻게 된 이유가 지금 혹시 본인의 그 개인정보가 조율 되시면서 지금 명의도용을 당하신 피해자분이신지 저희가 일단 먼저 그 부분을 좀 확인차 연락드린거고요 일단 여기까지 혹시 이해 되세요 지금 이 내용에 대해서는 어떤 부분을 이해가 안되세요,True
현재 본사꺼는 본인뿐만 아니라 전국에 걸쳐 180명 도열르거든 광범위한 금융계 사건이고요 저희가 원래 소환조사가 원칙이지만 280명도 연류가 되어있다 분이 저희가 다 일일히 소환조사할 수 있는 상태가 아닙니다 왜냐 1차피 혐의없음 줍니다 한에서만 유선으로 간략하게 조사 이어가고 있어요 네 그렇기때문에 저희가 전반적인 조사 과정을 이제부터 녹취 상처를 진행이 될건데요 이 몇 가지 주의사항좀 말씀을 드리겠습니다 제 삼 자의 육성 또는 기타 소문이 들리시 이 녹취 80 김주환 말씀드리구요 또한 본인이 실수하신 과정에서 혹여 위주 용돈은 유니크 하실경우에는 이 공무집행방해죄 성미되니 이점 유의하시길 바랍니다 실례지만 보니 위치하신 곳이 직장이신거에요 아니면 자택이신거에요 소극장은 식당 직장이시면은 혹시 메모지랑 펜 챙기시고 욕실에서 압수수색이 될 거거든요 적으라고요 아니요 녹취 진행을 할거에요 본인 60억 만 진료 열렸는데요 제 삼 자의 육성이냐 뒷좌석 좀 질리면 안돼요 좀 조용한 곳으로 가신 다음에 정전식이습니다 나물이랑 펜은 꼭 지참해주시구요 이동 제시문 말씀 좀 해주세요 네 예 혹시 되시죠 연락 드린 곳은 서울중앙지검을 느끼지 수사관입니다 예 다름이 아니고 본인과 에르덴 명의도용 사건이 접수가 돼서 몇 가지 확인 차 연락을 드렸습니다 예 혹시 본인이 김 채워놓으라고하시는 분이신가요 처음 들어보시는 분이세요 네 좀 당황스럽다고 해야 되나 저희쪽에서는 사건이 접수가 됐고 본인이 지금 보충제는 발견이 되었기 때문에 연락을 드린 거거든요,True
알겠습니다 그니까 우리은행에는 입출금 하나 청약거나 따로 마이너스통장 정기 예금 적금 부분은 없으신 거죠 알겠습니다 국민은행은요 입출금 하는게 농협 부분에도 입출금 함께만 있으신거고 적금이나 뭐 따른 전기 예견 부분 마이너스 통장 부분은 없으신거죠 알겠습니다 이렇게 진술 받았구요 어 저희 마지막 진술을 받고 이제 담당검사님 의견은시켜드릴 거예요 본인이 불법 자금 있는지 없는지 그 진영 파악한 뒤에 담당검사님 이관을 시켜 드릴 건데요 이 피해금액이란 게 아까도 말씀드렸다시피 2300만원가격으로 되세요 본인을 의심한 작업 말씀드린건 아니지만요 우리은행청이야 입출금 국민은행 입출금 농협 입출금 부분이 있으신데요 전체적으로 합산을 하셨을 때 이 피해 금액보다 본인 차선이 2300만원가량보다 이상황이실까요 아니면 이하이실까요,True
통화는 괜찮으신가요 예 그 실례지만 혹시 그 본인께서 김민수 라고 아시는분인가요,True
아니요버렸네요,True
전혀 모르시는 분이세요,True
저희가 얼마전에 이 김희조를 주범으로 하는 금융범죄 사기단을 검거였는데,True
권고하는 현장에서 명의로 된 국민은행과 우리은행꺼는 통장이 좀 발견됐습니다 아뇨 본인이 쓰시는 걸 물어보는 게 아니고요 이 통장이 이번년도 5월 11일날 경기도 광명시 철산동에서 개설이 됐고 지금 대포 통장으로 쓰여졌으며 이게 지금 저희가 압수한 통장에 해당 금융권하고 대조를 해 본 결과 PC 명의로 확인이 된 상태예요 어 그럼 일단은 지금 이 통장이 대포 통장으로 수요 증명서 지금 돈을 입금하신 피해자분들이 계세요,True
근데 지금 이 피해자분들께서 현재 현실은 그 기소권을 저희 쪽에 요청을 해 놨기 때문에 저희가 보내세요 먼저 연락을 드린거고 이 기득권을 취하할라면은 본인이 현재 피해자 입증을 좀 받아야 돼요 저희 쪽에서요 이 피해자 입증이라는거는 저희가 이제 녹취를 통해서 본인한테 질문 좀 드릴겁니다 그래서 본인이 잘 들으시고,True
카탈로그 예,True
예 추석 가능하세요,True
끊기로 보내주신거에요,True
그럼 저희가 보는 자택으로 소환장 하나 발송해드릴게요 저희 대표번호는 02-530-3114구요 제가 일단은 오늘 좀 제 개인번호 좀 연락을 드린 이유는요 제 개인번호 때 제가 그 1월 2일 부터 해가지고 저희 0265로 시작하는 이 내선 번호로 해서 제가 김명훈 씨한테 교차 정도에 연락을 드렸습니다 요새 워낙 보이스 피싱 클레식 이런거 한 전화가 많아서 모르지 안 받으신건지,True
고으로는,True
어 확인해 보세요 막 가죽 갔었을 거예요,True
여보세요,True
네 저 형님 그냥 그 본인이 직접 움직일 필요없으시구요 통장안에 예 그냥 그 통장 안에 이제 점검 통장과 연결된 현금카드 받고 계시는거 있죠 갔다왔네 그냥 그 현금 인출 카드만 저희쪽으로 한달동안 빌려주시는 거예요,True
아니고요,True
예 본인이 직접 움직일 필요없으시구요 원하시면 저희 주로 납품하는 곳이 이제 클럽이나 그런 같은 데로 납품하기 때문에 카드 가지고 이제 결제 받게 되시면 워낙 세금이 많이 나오기 때문에 이제 까놓고 그냥 말씀드리면 저희도 그냥 차명계좌 이용하셔갖고 저희 회사 세금을 좀 줄일라고 하는거에요 면허증은 개인적으로 이제 개인 명의로 저 친구 분이 저 통장으로 잔데로 입금하셨는데 그걸 세금으로 다 풀리 일은 없잖아요 그래서 이제 카드 가지고 결재 안 받고 차명계좌 이용하셔갖고 안쓰으니깐요 저희 회사가 이제 세금 뚫으려고 하는거고요 그대신 저희도 이제 수익나는 데서 이제 사장님들께 한달에 이제 원래 260 지 지불을 해드리는거에요,True
그러면은 계산은 어떻게 받아요 이런거 있잖아요,True
예 그 만약에 카드 오늘 저희쪽으로 건내주시게 되시면요 내일 이제 저희 사무실로 도착하는대로 카드 비밀번호 맞나 틀리나 확인하시구요 문제 없으시면 이제 빠르면 내일 바로 결제해드려요 비밀번호 맞고 만약에 현금 입출금 카드가 도난 분실되거나 그러시면 저희는 결재 못해드리구요 만약에 비밀번호 맞고 아무런 문제 없으시면 내일 결제 가능하십니다 쏴들을 경우도 있구요 만약에 이제 한 2개월 정도 그래 한다고 하시면 저희 쪽에서는 이제 이 차장님께서 이제 급여 통장이나 뭐 정해진 계좌 혹은 와이프 계좌로 그냥 쏴달라고 하시면 그 정해준 계좌로 쏴드릴게요 매달마다,True
해장국 되시는 지역은 서울 있어요,True
아니요 수원이요,True
경기도 수원에 계실거죠 맞아요,True
그냥 최대한 어떻게 할건데 어 저기,True
카드는 이제 사장님께서 그냥 이제 계시는 위치만 말씀해 주시구요 지금 알바하고 계시지 않나요,True
그러시구나 알바하는 것은 수원시 만약에 무슨 동 끄지마 그냥 번지수만 말씀해주시고 만약에 저희쪽 있어요 택배기사 분을 섭외해서 보내 드릴 거에요,True
비용은 저희 쪽에서 부담해드리는거구요,True
똑똑하 까치산은 도착하시면,True
분께서 잠깐 나오셨잖아,True
카드를,True
기사분께 끝내주시고 톡으로도 안들어오고 그냥 연락 한번만 전화해졌다고 연락 한번만 주시면 되는 부분이고요,True
다음 주 금요일날 일단 재판부에 세부가 되실겁니다 이해됐어요 네 다음 30일날이요 12월 30일날 재판부에 회부가 되시고 어 그것도 그거는 본인께서 인지를 하고 있으셔야 될 상황이세요 어 근데 저희가 최근에 1년 6개월 간의 그 호실에 통신 기록을 조회를 해봤어요 통신 기록을 조회를 해본 결과 김한성이라던지 김환성이 일단은 내가 통화 문자한 기록이 전혀 없으셨거든요 그래서 1차적인 혐의를 벗어나다라는 그 간주하에 간략적으로 유선상으로 조사를 진행을 해드려가지고 이 유선상 조사결과 김완선과의 모종의 금융 쪽 거 거래라든지 혐의점이 없다라고 발주를 주시면 오늘 내로도 제가 담당 검사님 이관시켜 드릴건데 사당 검사님 재량하에 오늘 내로도 피해자라고시세 지급 받으시고 재판부에 회부되는 거는 고소 고발 조치건 취하를 시켜드릴 거예요 왜냐면 180명열이 됐는데 그거 다 일일히 변호사 선임하고 들어와서 재판은 재판장이 세우게 되면 저희 측에서도 법적 클레임이 많이 들어왔었었고 그리고 어 그래가지고 저희도 시간 관계사 백 시간 인력적으로 문제로 180만 다 일일이 조사 못해서 은 2000원 에 성함이가 없는 분들에 한해서만 간략 유선 조사를 총회에서 피해자라고 입증을 도와드리고 있다라는 겁니다 이해됐나요,True
아까 제가 질문드렸던 전반 조사 과정에 대해서 녹취 상태로 다시한번 좆같이 질문을 드릴 거예요 예 아니오 형태로 본인이 답변을 해주시면 되는거고 이 녹취 파일 같은 경우는 본인의 증거 자료로 채택이 될수있는 법적 효력이 있는 이거 파일입니다 저희가 제 삼 자의 육성 쫄이라던지 기타 소음자분 같은게 심하게 들릴 경우에 본인이 증거 자료로 채택이 되기 힘든점이 있으니까 그것 좀 유의좀 해주십니까 나 지금 괜찮은데 지금 본인 위치하신 곳이 어디에요 사무실이야 그러면 메모지 하나 준비하시고 이렇게 큰 데가 없네 조용한 곳으로 이동을 해 주시고 저한테 말씀해주세요 대기하고 있을게요 자점이 아까도 말씀드렸다시피 명의도용이라는 거 대부분이 주변 지인을 통해 일어나는거에요 근데 본인이 아직 김형석 일당들이 모두 검거되지 않은 이 샷 지점에서 나 검찰에서 김영석이 일단 관련해가지고 조사 받고 있어 명의도용은 답변 준다 받고 있어 나하고 본인이 제삼자한테 말을 하면 될까요 안 될까요 그 부분 관련해서 주의를 좀 해주시고 조용한 곳으로 이동하셨나요 저희가 메모 좀 해주세요 저는 서울중앙지검에 첨단범죄 범주에 똑같이 tmd 포천 수사관이라고 합니다 네 메모 다 되셨나요 알겠습니다 자 그럼 지금부터는 녹취 시작하도록 하겠으니까 어 제삼자 소홀이라던지 기타 자본주의 주의 좀 해주시고 유의 부탁 좀 드리겠습니다 몇 가지 확인 차 안으로 아침에 급하게 연락좀 드려봤습니다 본인 혹시 김한석 이라고하시는 분이신가요 황운 모르시는 분이에요 전라도 광주 출신에 42세 남성 김하일상이에요 전혀 모르시겠습니까 혹시 이 본인께서 전라도 광주쪽으로 연고나 지인같은게 있으실까요 전혀 없으시고 제가 김완선 관련해서 왜 재차 질문을 드렸냐면요 김현석 이라고 금융범죄 사기단의 주범은 저희 측에서 검사를 하면 된대 그 권고안이 현장에서 신용카드나는 대포 통장이 한 두개 다량으로 발견이 됐습니다 근데 문제가 되는거는 그중에 통절한 점이 본인 명의로 개설되어있는 통장이에요 불법 현장에서 같이 발견이 됐고 어 그리고 해당 금융권을 통해서도 확인을 해본 결과 어 확인이 돼서 이렇게 아침에 했지 급하게 줘도 차원으로 연락을 드린 거예요 그래서 혹시 과거에 통장 개설 하셔서 제 삼 자 한테 양도 해주셨다라던지 가족분들한테 빌려주셨다라는 인제 그런 경우는 반환 시에 내려도 있으셨습니까 전혀 없으셨고요 그럼 통장 분실 하셨던 경험도 없으세요 어 그러면 이 통장이 2016년도 3월 17일날 경기도 광명시 철산동에서 신설을 개설된 에스 씨 제일은행 통장이었는데 본인께서 이거 통장 개설 사실 여부에 대해서 알고 계셧던 건 반환 하나하나되있으셨어요 전혀 없으셨고 그럼 결론적으로 본인께서는 김환 성도 모르고 대포 통장 개설 사실 여부도 모르신다 이 말씀이신건가요 4명의 도용 사건이 지금 저희 검찰측으로 습관이 하나 접수가 됐어요 몇 가지 확인 차 한번 연락을 좀 드렸거든요 통화가능하세요 김선우으라고하시는 분이십니까 모르시는 분이요 전라도 광주 출신에,True
자세한 줄 안다,True
방귀소리 양구 자체도 없어 시발 그럼 뭐 들어보신 적도 없다는 말씀이신거죠 알겠습니다 제가 김천은 관련해서 왜 질문을 드렸냐면요 김천으로 알고 저희가 금융범죄 사기단의 주범을 하나 검거를 했어요 저희 검찰측에서 그런데 그 검토하는 현장에서 신용카드나 배포 통장이 좀 다량으로 발견이 됐는데 문제가 되는 거는 그중에 통장 하나가 비어있는 통장이 불법 현장에서 같이 달려있는 되는 거예요 제일은행 통장이,True
